Team,Total Goals
Brazil,237
Argentina,152
France,136
West Germany,131
Italy,127
Spain,108
England,104
Germany,101
Netherlands,96
Uruguay,89
Hungary,87
Sweden,80
Belgium,69
Mexico,62
Portugal,61
Switzerland,55
Yugoslavia,55
Soviet Union,53
Poland,49
Czechoslovakia,44
Austria,43
Croatia,43
Chile,40
South Korea,39
United States,37
Colombia,32
Denmark,31
Romania,30
Paraguay,30
Japan,25
Scotland,25
Russia,24
Nigeria,23
Costa Rica,22
Cameroon,22
Peru,21
Morocco,20
Turkey,20
Ghana,18
Bulgaria,17
Australia,17
Senegal,16
Saudi Arabia,14
Ecuador,14
Tunisia,14
Ivory Coast,13
Northern Ireland,13
Iran,13
Algeria,13
South Africa,11
Republic of Ireland,10
Serbia,9
Norway,7
North Korea,6
East Germany,5
Bulgaria**,5
Ukraine,5
Wales,5
Greece,5
FR Yugoslavia,5
Egypt,5
Slovenia,5
Slovakia,5
Cuba,5
Bosnia and Herzegovina,4
New Zealand,4
Honduras,3
USA,3
Jamaica,3
Czech Republic,3
Canada,2
United Arab Emirates,2
Serbia and Montenegro,2
Kuwait,2
Haiti,2
Panama,2
Iceland,2
Iraq,1
Angola,1
Bolivia,1
Qatar,1
Togo,1
Israel*,1
El Salvador,1
Dutch East Indies,0
China PR,0
Trinidad and Tobago,0
Zaire,0
